CoM_x,CoM_y,CoM_z,x_body_x,x_body_y,x_body_z,y_body_x,y_body_y,y_body_z,t_ms,x_vel
-0.0090485,-0.0078114,0.010568,0.75799,-0.21676,0.6152,0.22024,0.97283,0.07141,-14,0.13565
-0.0090445,-0.0078098,0.010565,0.75806,-0.21676,0.61511,0.22055,0.97279,0.070996,-13.95,0.13565
-0.0090404,-0.0078082,0.010561,0.75813,-0.21676,0.61502,0.22087,0.97275,0.070574,-13.9,0.13565
-0.0090362,-0.0078065,0.010558,0.7582,-0.21676,0.61493,0.2212,0.9727,0.070145,-13.85,0.13565
-0.0090319,-0.0078049,0.010554,0.75828,-0.21676,0.61484,0.22152,0.97266,0.069709,-13.8,0.13566
-0.0090276,-0.0078032,0.010551,0.75835,-0.21676,0.61475,0.22186,0.97262,0.069266,-13.75,0.13566
-0.0090231,-0.0078014,0.010547,0.75843,-0.21677,0.61466,0.2222,0.97257,0.068816,-13.7,0.13566
-0.0090186,-0.0077997,0.010543,0.7585,-0.21677,0.61456,0.22255,0.97252,0.068359,-13.65,0.13566
-0.0090141,-0.0077979,0.010539,0.75858,-0.21677,0.61447,0.2229,0.97248,0.067894,-13.6,0.13567
-0.0090094,-0.0077961,0.010536,0.75866,-0.21677,0.61437,0.22325,0.97243,0.067423,-13.55,0.13567
-0.0090047,-0.0077943,0.010532,0.75874,-0.21677,0.61427,0.22361,0.97238,0.066945,-13.5,0.13567
-0.0089999,-0.0077924,0.010528,0.75882,-0.21677,0.61417,0.22398,0.97233,0.066461,-13.45,0.13567
-0.0089951,-0.0077905,0.010524,0.7589,-0.21678,0.61407,0.22434,0.97227,0.065969,-13.4,0.13568
-0.0089901,-0.0077886,0.01052,0.75898,-0.21678,0.61396,0.22472,0.97222,0.065472,-13.35,0.13568
-0.0089851,-0.0077866,0.010516,0.75907,-0.21678,0.61386,0.2251,0.97217,0.064967,-13.3,0.13568
-0.00898,-0.0077846,0.010511,0.75915,-0.21678,0.61375,0.22548,0.97211,0.064457,-13.25,0.13568
-0.0089748,-0.0077826,0.010507,0.75924,-0.21678,0.61365,0.22587,0.97206,0.06394,-13.2,0.13569
-0.0089696,-0.0077806,0.010503,0.75932,-0.21678,0.61354,0.22626,0.972,0.063417,-13.15,0.13569
-0.0089643,-0.0077785,0.010498,0.75941,-0.21678,0.61343,0.22665,0.97194,0.062887,-13.1,0.13569
-0.0089589,-0.0077764,0.010494,0.7595,-0.21679,0.61332,0.22705,0.97188,0.062352,-13.05,0.1357
-0.0089535,-0.0077743,0.01049,0.75959,-0.21679,0.61321,0.22746,0.97182,0.061812,-13,0.1357
-0.008948,-0.0077722,0.010485,0.75968,-0.21679,0.6131,0.22787,0.97176,0.061265,-12.95,0.1357
-0.0089424,-0.00777,0.01048,0.75977,-0.21679,0.61298,0.22828,0.9717,0.060713,-12.9,0.13571
-0.0089367,-0.0077678,0.010476,0.75986,-0.21679,0.61287,0.22869,0.97164,0.060156,-12.85,0.13571
-0.008931,-0.0077656,0.010471,0.75996,-0.21679,0.61275,0.22911,0.97157,0.059593,-12.8,0.13571
-0.0089252,-0.0077633,0.010466,0.76005,-0.21679,0.61264,0.22953,0.97151,0.059026,-12.75,0.13572
-0.0089193,-0.007761,0.010461,0.76015,-0.21679,0.61252,0.22996,0.97144,0.058453,-12.7,0.13572
-0.0089134,-0.0077587,0.010457,0.76024,-0.2168,0.6124,0.23038,0.97138,0.057876,-12.65,0.13572
-0.0089073,-0.0077564,0.010452,0.76034,-0.2168,0.61228,0.23081,0.97131,0.057294,-12.6,0.13573
-0.0089013,-0.0077541,0.010447,0.76043,-0.2168,0.61216,0.23125,0.97124,0.056708,-12.55,0.13573
-0.0088951,-0.0077517,0.010442,0.76053,-0.2168,0.61204,0.23168,0.97117,0.056118,-12.5,0.13573
-0.0088889,-0.0077493,0.010437,0.76063,-0.2168,0.61192,0.23212,0.9711,0.055524,-12.45,0.13574
-0.0088827,-0.0077469,0.010431,0.76073,-0.2168,0.61179,0.23256,0.97103,0.054926,-12.4,0.13574
-0.0088763,-0.0077444,0.010426,0.76083,-0.2168,0.61167,0.23301,0.97096,0.054324,-12.35,0.13575
-0.0088699,-0.007742,0.010421,0.76093,-0.2168,0.61155,0.23345,0.97088,0.053719,-12.3,0.13575
-0.0088635,-0.0077395,0.010416,0.76103,-0.21681,0.61142,0.2339,0.97081,0.05311,-12.25,0.13576
-0.0088569,-0.007737,0.01041,0.76113,-0.21681,0.6113,0.23435,0.97073,0.052499,-12.2,0.13576
-0.0088504,-0.0077344,0.010405,0.76123,-0.21681,0.61117,0.2348,0.97066,0.051885,-12.15,0.13577
-0.0088437,-0.0077319,0.0104,0.76133,-0.21681,0.61104,0.23525,0.97058,0.051269,-12.1,0.13577
-0.008837,-0.0077293,0.010394,0.76143,-0.21681,0.61091,0.2357,0.9705,0.05065,-12.05,0.13577
-0.0088303,-0.0077267,0.010389,0.76153,-0.21681,0.61079,0.23616,0.97043,0.050029,-12,0.13578
-0.0088235,-0.0077241,0.010383,0.76164,-0.21681,0.61066,0.23661,0.97035,0.049406,-11.95,0.13578
-0.0088166,-0.0077214,0.010377,0.76174,-0.21681,0.61053,0.23707,0.97027,0.048781,-11.9,0.13579
-0.0088097,-0.0077188,0.010372,0.76184,-0.21681,0.6104,0.23752,0.97019,0.048155,-11.85,0.13579
-0.0088027,-0.0077161,0.010366,0.76195,-0.21682,0.61027,0.23798,0.97011,0.047528,-11.8,0.1358
-0.0087957,-0.0077134,0.01036,0.76205,-0.21682,0.61014,0.23844,0.97002,0.0469,-11.75,0.1358
-0.0087886,-0.0077107,0.010355,0.76216,-0.21682,0.61001,0.23889,0.96994,0.046272,-11.7,0.13581
-0.0087814,-0.007708,0.010349,0.76226,-0.21682,0.60987,0.23935,0.96986,0.045643,-11.65,0.13582
-0.0087743,-0.0077053,0.010343,0.76237,-0.21682,0.60974,0.23981,0.96978,0.045013,-11.6,0.13582
-0.008767,-0.0077025,0.010337,0.76247,-0.21682,0.60961,0.24026,0.96969,0.044384,-11.55,0.13583
-0.0087597,-0.0076997,0.010331,0.76258,-0.21682,0.60948,0.24072,0.96961,0.043755,-11.5,0.13583
-0.0087524,-0.0076969,0.010325,0.76268,-0.21682,0.60935,0.24117,0.96952,0.043127,-11.45,0.13584
-0.008745,-0.0076941,0.010319,0.76279,-0.21682,0.60921,0.24162,0.96944,0.0425,-11.4,0.13584
-0.0087376,-0.0076913,0.010313,0.76289,-0.21683,0.60908,0.24207,0.96935,0.041873,-11.35,0.13585
-0.0087301,-0.0076885,0.010307,0.763,-0.21683,0.60895,0.24252,0.96927,0.041249,-11.3,0.13585
-0.0087226,-0.0076856,0.010301,0.7631,-0.21683,0.60882,0.24297,0.96918,0.040625,-11.25,0.13586
-0.0087151,-0.0076828,0.010295,0.76321,-0.21683,0.60868,0.24342,0.9691,0.040004,-11.2,0.13587
-0.0087075,-0.0076799,0.010289,0.76331,-0.21683,0.60855,0.24386,0.96901,0.039385,-11.15,0.13587
-0.0086999,-0.007677,0.010283,0.76342,-0.21683,0.60842,0.2443,0.96892,0.038768,-11.1,0.13588
-0.0086922,-0.0076741,0.010276,0.76353,-0.21683,0.60829,0.24474,0.96884,0.038154,-11.05,0.13588
-0.0086845,-0.0076712,0.01027,0.76363,-0.21684,0.60815,0.24518,0.96875,0.037543,-11,0.13589
-0.0086768,-0.0076683,0.010264,0.76374,-0.21684,0.60802,0.24561,0.96866,0.036935,-10.95,0.1359
-0.008669,-0.0076654,0.010258,0.76384,-0.21684,0.60789,0.24605,0.96858,0.036331,-10.9,0.1359
-0.0086612,-0.0076624,0.010251,0.76395,-0.21684,0.60776,0.24647,0.96849,0.03573,-10.85,0.13591
-0.0086534,-0.0076595,0.010245,0.76405,-0.21684,0.60762,0.2469,0.9684,0.035134,-10.8,0.13591
-0.0086455,-0.0076565,0.010239,0.76415,-0.21684,0.60749,0.24732,0.96832,0.034542,-10.75,0.13592
-0.0086376,-0.0076536,0.010232,0.76426,-0.21685,0.60736,0.24774,0.96823,0.033954,-10.7,0.13593
-0.0086296,-0.0076506,0.010226,0.76436,-0.21685,0.60723,0.24815,0.96815,0.033371,-10.65,0.13593
-0.0086217,-0.0076476,0.010219,0.76446,-0.21685,0.6071,0.24856,0.96806,0.032794,-10.6,0.13594
-0.0086137,-0.0076447,0.010213,0.76457,-0.21685,0.60697,0.24897,0.96798,0.032221,-10.55,0.13595
-0.0086057,-0.0076417,0.010207,0.76467,-0.21686,0.60684,0.24937,0.96789,0.031655,-10.5,0.13595
-0.0085976,-0.0076387,0.0102,0.76477,-0.21686,0.60671,0.24976,0.96781,0.031094,-10.45,0.13596
-0.0085896,-0.0076357,0.010194,0.76487,-0.21686,0.60658,0.25016,0.96772,0.030539,-10.4,0.13596
-0.0085815,-0.0076327,0.010187,0.76497,-0.21686,0.60645,0.25054,0.96764,0.029991,-10.35,0.13597
-0.0085734,-0.0076297,0.010181,0.76507,-0.21687,0.60632,0.25092,0.96756,0.029449,-10.3,0.13598
-0.0085653,-0.0076267,0.010174,0.76517,-0.21687,0.6062,0.2513,0.96748,0.028914,-10.25,0.13598
