CoM_x,CoM_y,CoM_z,x_body_x,x_body_y,x_body_z,y_body_x,y_body_y,y_body_z,t_ms,x_vel
-0.0033388,0.0064104,0.0094435,0.23514,-0.61897,0.74939,0.96634,0.066049,-0.24866,-27.25,0.10821
-0.0033344,0.0064085,0.0094436,0.23513,-0.61907,0.74931,0.96637,0.066332,-0.24844,-27.2,0.1082
-0.0033299,0.0064067,0.0094438,0.23511,-0.61917,0.74923,0.96641,0.066619,-0.24821,-27.15,0.10818
-0.0033254,0.0064048,0.0094439,0.23509,-0.61928,0.74915,0.96645,0.066911,-0.24797,-27.1,0.10817
-0.0033207,0.0064029,0.0094441,0.23508,-0.61939,0.74907,0.96649,0.067207,-0.24774,-27.05,0.10816
-0.003316,0.0064009,0.0094443,0.23506,-0.6195,0.74898,0.96653,0.067508,-0.2475,-27,0.10815
-0.0033112,0.0063989,0.0094444,0.23504,-0.6196,0.7489,0.96657,0.067814,-0.24726,-26.95,0.10813
-0.0033063,0.0063969,0.0094446,0.23503,-0.61972,0.74881,0.96661,0.068123,-0.24701,-26.9,0.10812
-0.0033013,0.0063949,0.0094448,0.23501,-0.61983,0.74872,0.96666,0.068437,-0.24676,-26.85,0.10811
-0.0032963,0.0063928,0.009445,0.235,-0.61994,0.74863,0.9667,0.068755,-0.24651,-26.8,0.1081
-0.0032911,0.0063907,0.0094452,0.23498,-0.62005,0.74854,0.96674,0.069078,-0.24626,-26.75,0.10808
-0.0032859,0.0063885,0.0094454,0.23497,-0.62017,0.74845,0.96678,0.069404,-0.246,-26.7,0.10807
-0.0032806,0.0063863,0.0094455,0.23496,-0.62028,0.74836,0.96682,0.069734,-0.24574,-26.65,0.10806
-0.0032752,0.0063841,0.0094457,0.23494,-0.6204,0.74827,0.96687,0.070068,-0.24548,-26.6,0.10805
-0.0032697,0.0063819,0.0094459,0.23493,-0.62051,0.74818,0.96691,0.070407,-0.24522,-26.55,0.10803
-0.0032642,0.0063796,0.0094461,0.23492,-0.62063,0.74808,0.96695,0.070749,-0.24495,-26.5,0.10802
-0.0032585,0.0063774,0.0094463,0.23491,-0.62075,0.74799,0.96699,0.071094,-0.24469,-26.45,0.10801
-0.0032528,0.006375,0.0094466,0.2349,-0.62087,0.74789,0.96703,0.071443,-0.24442,-26.4,0.108
-0.003247,0.0063727,0.0094468,0.23489,-0.62099,0.7478,0.96708,0.071796,-0.24415,-26.35,0.10799
-0.0032411,0.0063703,0.009447,0.23488,-0.62111,0.7477,0.96712,0.072153,-0.24387,-26.3,0.10798
-0.0032351,0.0063679,0.0094472,0.23487,-0.62122,0.74761,0.96716,0.072513,-0.2436,-26.25,0.10796
-0.0032291,0.0063655,0.0094474,0.23487,-0.62134,0.74751,0.9672,0.072876,-0.24332,-26.2,0.10795
-0.0032229,0.006363,0.0094477,0.23486,-0.62146,0.74741,0.96725,0.073242,-0.24304,-26.15,0.10794
-0.0032167,0.0063605,0.0094479,0.23486,-0.62158,0.74731,0.96729,0.073612,-0.24276,-26.1,0.10793
-0.0032104,0.006358,0.0094481,0.23486,-0.6217,0.74721,0.96733,0.073985,-0.24248,-26.05,0.10792
-0.003204,0.0063555,0.0094484,0.23485,-0.62182,0.74711,0.96737,0.07436,-0.2422,-26,0.10791
-0.0031976,0.0063529,0.0094486,0.23485,-0.62194,0.74701,0.96741,0.074739,-0.24192,-25.95,0.1079
-0.003191,0.0063503,0.0094488,0.23485,-0.62206,0.74691,0.96746,0.075121,-0.24163,-25.9,0.10789
-0.0031844,0.0063477,0.0094491,0.23485,-0.62218,0.74681,0.9675,0.075505,-0.24135,-25.85,0.10788
-0.0031777,0.006345,0.0094493,0.23486,-0.6223,0.74671,0.96754,0.075892,-0.24106,-25.8,0.10787
-0.003171,0.0063424,0.0094496,0.23486,-0.62242,0.74661,0.96758,0.076282,-0.24078,-25.75,0.10786
-0.0031641,0.0063397,0.0094498,0.23487,-0.62254,0.74651,0.96762,0.076674,-0.24049,-25.7,0.10785
-0.0031572,0.006337,0.0094501,0.23487,-0.62266,0.74641,0.96766,0.077069,-0.2402,-25.65,0.10784
-0.0031502,0.0063342,0.0094504,0.23488,-0.62278,0.74631,0.9677,0.077466,-0.23992,-25.6,0.10783
-0.0031431,0.0063315,0.0094506,0.23489,-0.6229,0.74621,0.96774,0.077866,-0.23963,-25.55,0.10782
-0.003136,0.0063287,0.0094509,0.2349,-0.62301,0.74611,0.96778,0.078268,-0.23934,-25.5,0.10782
-0.0031288,0.0063259,0.0094512,0.23492,-0.62313,0.746,0.96781,0.078672,-0.23905,-25.45,0.10781
-0.0031215,0.0063231,0.0094515,0.23493,-0.62325,0.7459,0.96785,0.079078,-0.23876,-25.4,0.1078
-0.0031141,0.0063202,0.0094518,0.23495,-0.62336,0.7458,0.96789,0.079486,-0.23847,-25.35,0.10779
-0.0031067,0.0063174,0.009452,0.23497,-0.62348,0.7457,0.96793,0.079896,-0.23819,-25.3,0.10779
-0.0030992,0.0063145,0.0094523,0.23498,-0.62359,0.7456,0.96796,0.080308,-0.2379,-25.25,0.10778
-0.0030917,0.0063116,0.0094526,0.23501,-0.6237,0.7455,0.968,0.080722,-0.23761,-25.2,0.10777
-0.003084,0.0063087,0.0094529,0.23503,-0.62381,0.7454,0.96804,0.081137,-0.23732,-25.15,0.10777
-0.0030763,0.0063057,0.0094532,0.23505,-0.62392,0.7453,0.96807,0.081554,-0.23704,-25.1,0.10776
-0.0030686,0.0063028,0.0094535,0.23508,-0.62403,0.7452,0.96811,0.081973,-0.23675,-25.05,0.10776
-0.0030608,0.0062998,0.0094538,0.23511,-0.62414,0.7451,0.96814,0.082393,-0.23647,-25,0.10775
-0.0030529,0.0062968,0.0094541,0.23514,-0.62425,0.745,0.96817,0.082814,-0.23618,-24.95,0.10775
-0.0030449,0.0062938,0.0094544,0.23517,-0.62435,0.7449,0.96821,0.083237,-0.2359,-24.9,0.10775
-0.0030369,0.0062908,0.0094548,0.2352,-0.62446,0.7448,0.96824,0.083661,-0.23562,-24.85,0.10774
-0.0030289,0.0062878,0.0094551,0.23524,-0.62456,0.7447,0.96827,0.084087,-0.23534,-24.8,0.10774
-0.0030207,0.0062847,0.0094554,0.23527,-0.62467,0.74461,0.9683,0.084513,-0.23506,-24.75,0.10774
-0.0030125,0.0062817,0.0094557,0.23531,-0.62477,0.74451,0.96833,0.084941,-0.23478,-24.7,0.10774
-0.0030043,0.0062786,0.009456,0.23536,-0.62487,0.74441,0.96836,0.08537,-0.2345,-24.65,0.10773
-0.002996,0.0062755,0.0094564,0.2354,-0.62496,0.74432,0.96839,0.085799,-0.23422,-24.6,0.10773
-0.0029877,0.0062724,0.0094567,0.23544,-0.62506,0.74422,0.96842,0.08623,-0.23395,-24.55,0.10773
-0.0029793,0.0062693,0.009457,0.23549,-0.62516,0.74413,0.96845,0.086661,-0.23367,-24.5,0.10773
-0.0029708,0.0062662,0.0094574,0.23554,-0.62525,0.74403,0.96847,0.087094,-0.2334,-24.45,0.10773
-0.0029623,0.0062631,0.0094577,0.23559,-0.62534,0.74394,0.9685,0.087527,-0.23313,-24.4,0.10773
-0.0029537,0.0062599,0.0094581,0.23565,-0.62543,0.74384,0.96852,0.08796,-0.23286,-24.35,0.10773
-0.0029451,0.0062568,0.0094584,0.2357,-0.62552,0.74375,0.96855,0.088394,-0.2326,-24.3,0.10773
-0.0029365,0.0062536,0.0094588,0.23576,-0.62561,0.74366,0.96857,0.088829,-0.23233,-24.25,0.10774
-0.0029278,0.0062505,0.0094591,0.23582,-0.6257,0.74357,0.96859,0.089265,-0.23207,-24.2,0.10774
-0.0029191,0.0062473,0.0094595,0.23588,-0.62578,0.74348,0.96862,0.0897,-0.23181,-24.15,0.10774
-0.0029103,0.0062441,0.0094598,0.23594,-0.62586,0.74339,0.96864,0.090137,-0.23155,-24.1,0.10774
-0.0029015,0.0062409,0.0094602,0.23601,-0.62594,0.7433,0.96866,0.090573,-0.23129,-24.05,0.10775
-0.0028926,0.0062378,0.0094606,0.23608,-0.62602,0.74321,0.96868,0.09101,-0.23104,-24,0.10775
-0.0028837,0.0062346,0.0094609,0.23615,-0.6261,0.74313,0.9687,0.091448,-0.23078,-23.95,0.10775
-0.0028747,0.0062314,0.0094613,0.23622,-0.62617,0.74304,0.96872,0.091885,-0.23053,-23.9,0.10776
-0.0028658,0.0062282,0.0094617,0.23629,-0.62625,0.74295,0.96873,0.092323,-0.23028,-23.85,0.10777
-0.0028568,0.006225,0.009462,0.23637,-0.62632,0.74287,0.96875,0.092761,-0.23003,-23.8,0.10777
-0.0028477,0.0062217,0.0094624,0.23645,-0.62639,0.74279,0.96877,0.093199,-0.22979,-23.75,0.10778
-0.0028386,0.0062185,0.0094628,0.23653,-0.62645,0.7427,0.96878,0.093637,-0.22955,-23.7,0.10778
-0.0028295,0.0062153,0.0094632,0.23661,-0.62652,0.74262,0.9688,0.094075,-0.22931,-23.65,0.10779
-0.0028204,0.0062121,0.0094635,0.2367,-0.62658,0.74254,0.96881,0.094513,-0.22907,-23.6,0.1078
-0.0028112,0.0062089,0.0094639,0.23678,-0.62665,0.74246,0.96882,0.094951,-0.22884,-23.55,0.10781
-0.002802,0.0062057,0.0094643,0.23687,-0.62671,0.74238,0.96884,0.09539,-0.2286,-23.5,0.10781
-0.0027928,0.0062024,0.0094647,0.23696,-0.62677,0.7423,0.96885,0.095828,-0.22837,-23.45,0.10782
-0.0027835,0.0061992,0.0094651,0.23706,-0.62682,0.74222,0.96886,0.096266,-0.22814,-23.4,0.10783
-0.0027742,0.006196,0.0094655,0.23715,-0.62688,0.74215,0.96887,0.096704,-0.22792,-23.35,0.10784
-0.0027649,0.0061928,0.0094659,0.23725,-0.62693,0.74207,0.96887,0.097142,-0.2277,-23.3,0.10785
-0.0027556,0.0061896,0.0094663,0.23735,-0.62698,0.742,0.96888,0.097579,-0.22747,-23.25,0.10786
-0.0027462,0.0061864,0.0094667,0.23745,-0.62703,0.74192,0.96889,0.098017,-0.22726,-23.2,0.10787
-0.0027369,0.0061831,0.009467,0.23756,-0.62708,0.74185,0.9689,0.098454,-0.22704,-23.15,0.10789
-0.0027275,0.0061799,0.0094674,0.23766,-0.62712,0.74178,0.9689,0.098891,-0.22683,-23.1,0.1079
-0.0027181,0.0061767,0.0094678,0.23777,-0.62716,0.74171,0.96891,0.099328,-0.22662,-23.05,0.10791
-0.0027086,0.0061735,0.0094682,0.23788,-0.62721,0.74164,0.96891,0.099764,-0.22641,-23,0.10792
-0.0026992,0.0061703,0.0094686,0.23799,-0.62725,0.74157,0.96891,0.1002,-0.2262,-22.95,0.10794
-0.0026897,0.0061671,0.0094691,0.23811,-0.62728,0.7415,0.96891,0.10064,-0.226,-22.9,0.10795
-0.0026803,0.0061639,0.0094695,0.23823,-0.62732,0.74143,0.96892,0.10107,-0.2258,-22.85,0.10796
-0.0026708,0.0061607,0.0094699,0.23834,-0.62735,0.74136,0.96892,0.10151,-0.2256,-22.8,0.10798
